Gemeente,Zorgverzekeringswet (Zvw) - Kosten totaal [euro] [2014],Algemene Wet Bijzondere Ziektekosten (AWBZ) - Kosten totaal [euro] [2014],Wet langdurige zorg (WLZ) - Kosten totaal [euro] [2015],Zvw - Huisartsenzorg - Kosten totaal [euro] [2014],Zvw - Farmaceutische zorg - Kosten totaal [euro] [2014],Zvw - Wijkverpleging - Kosten totaal [euro] [2015],Zvw - medisch-specialistische zorg - Kosten totaal [euro] [2014],Zvw - Geestelijke gezondheidszorg - Kosten totaal [euro] [2014],Zvw - Overig - Kosten totaal [euro] [2014],AWBZ - Zorg thuis - Kosten totaal [euro] [2014],AWBZ - Zorg in een instelling - Kosten totaal [euro] [2014],WLZ - Zorg in een instelling - Kosten totaal [euro] [2015],WLZ - Zorg zonder verblijf - Kosten totaal [euro] [2015],Zorgverzekeringswet (Zvw) - Zorggebruikers (Patiënten/Cliënten) [aantal] [2014],Algemene Wet Bijzondere Ziektekosten (AWBZ) - Zorggebruikers (Patiënten/Cliënten) [aantal] [2014],Wet langdurige zorg (WLZ) - Zorggebruikers (Patiënten/Cliënten) [aantal] [2015],Zvw - Huisartsenzorg - Zorggebruikers [aantal] [2014],Zvw - Farmaceutische zorg - Zorggebruikers [aantal] [2014],Zvw - Wijkverpleging - Zorggebruikers [aantal] [2015],Zvw - MSZ - Zorggebruikers [aantal] [2014],Zvw - GGZ - Zorggebruikers [aantal] [2014],Zvw - Overig - Zorggebruikers [aantal] [2014],AWBZ - Zorg thuis - Zorggebruikers [aantal] [2014],AWBZ - Zorg in een instelling - Zorggebruikers [aantal] [2014],WLZ - Zorg thuis - Zorggebruikers [aantal] [2015],WLZ - Zorg in een instelling - Zorggebruikers [aantal] [2015]
Aa en Hunze,57233032,56813911,47442603,4046158,6334820,5503310,34673007,4227760,7951287,17191627,39622285,9005168,38437435,22571,1812,800,19496,17214,907,14609,1305,9095,1275,693,226,624
Aalburg,26066049,15222217,11966900,1744747,3135781,2141233,15338545,1632955,4214021,5705764,9516453,2213575,9753325,11425,670,245,9792,8677,365,6846,493,4871,514,207,79,188
Aalsmeer,60097309,34112164,29483881,4669033,7185778,2921040,34920431,4462122,8859946,7878251,26233913,3500134,25983747,27597,1340,616,24113,20619,616,17388,1425,11136,946,479,228,477
Aalten,59408005,45090707,33345049,4348352,6867097,8683632,35959929,3957085,8275544,16030640,29060067,4102671,29242378,23884,1906,673,20844,18415,1186,15074,929,10254,1454,572,196,524
Achtkarspelen,59443638,34628559,23312240,4141329,7100093,5231489,35213584,4549568,8439064,19504472,15124087,8999850,14312390,25074,1760,538,21705,19282,956,15654,1458,10581,1498,363,277,311
Alblasserdam,42161480,26312667,17217356,2772832,5735912,4684997,24183768,3287432,6181536,12101024,14211643,4604203,12613154,17596,1268,406,15419,14079,767,11161,913,7547,1019,314,205,251
Albrandswaard,52787477,45550732,33882459,3537276,5472897,2139616,29592793,7453704,6730807,8482661,37068071,5159213,28723246,22596,1262,588,19957,17523,461,14441,1282,9014,661,716,175,462
Alkmaar,229953547,127712558,91033525,14091900,24299453,14878910,131787261,28303083,31471849,46938297,80774261,17869508,73164017,94062,5794,2016,82763,69171,2861,59083,7301,36495,4379,1846,732,1549
Almelo,177155839,151411596,97793451,12018575,21770378,21891589,100289087,18675067,24402732,69696995,81714601,23017651,74775800,65143,6081,1937,58181,51713,3024,43145,3943,27975,4846,1671,678,1393
Almere,391525322,181639971,106794029,30008864,44706985,25730500,225057220,37143297,54608957,96975857,84664114,41740243,65053786,174468,7735,2721,155629,132496,3695,110654,11321,70113,6450,1752,1621,1329
Alphen aan den Rijn,222048624,154717773,125938365,17027524,25511932,16501476,131003154,19706629,28799386,42924060,111793713,15008466,110929899,95705,5587,2176,84492,73126,2645,60229,6026,38271,4053,1924,581,1796
Alphen-Chaam,19481041,11169506,8097158,1308612,2262565,1248515,11866927,998070,3044867,3586323,7583183,1287292,6809867,8716,477,164,7730,6645,257,5707,366,3528,362,153,58,125
Ameland,6761832,4014581,2716802,748127,845267,1231857,3835447,277156,1055836,1779626,2234955,501892,2214909,3189,212,50,2810,2465,151,1871,100,1316,172,45,12,40
